Datetime,ADI,AMAT,AMD,ARM,ASML,AVGO,CDNS,INTC,KLAC,MCHP,MPWR,MRVL,MU,NVDA,NXPI,QCOM,SNPS,TSM,TXN
2024-04-16 16:30:00+00:00,193.0800018310547,209.47000122070312,163.3000946044922,123.1801986694336,973.9299926757812,132.51651000976562,299.8299865722656,36.27000045776367,693.0999755859375,86.38999938964844,655.4500122070312,68.16000366210938,121.06999969482422,87.46492004394531,230.93499755859375,168.3000030517578,541.1599731445312,139.8699951171875,167.96499633789062
2024-04-16 17:30:00+00:00,191.74000549316406,208.3000030517578,162.85009765625,122.61000061035156,969.0599975585938,132.3199920654297,300.010009765625,36.231201171875,688.75,85.75,650.3200073242188,68.08390045166016,121.22000122070312,87.33250427246094,231.02000427246094,168.0,540.4810180664062,139.44000244140625,167.043701171875
2024-04-16 18:30:00+00:00,192.36000061035156,210.14500427246094,163.889892578125,123.70010375976562,977.1199951171875,133.55799865722656,301.739990234375,36.380001068115234,695.5800170898438,86.48999786376953,657.9500122070312,68.8510971069336,122.3499984741211,87.83850860595703,231.9600067138672,169.2100067138672,543.3800048828125,139.9600067138672,168.1300048828125
2024-04-16 19:30:00+00:00,191.22000122070312,209.47999572753906,163.44000244140625,122.26000213623047,975.2999877929688,132.8719940185547,300.9700012207031,36.220001220703125,693.02001953125,85.91000366210938,655.0999755859375,68.25,121.75,87.41389465332031,230.5399932861328,168.5,540.9500122070312,139.82000732421875,167.60000610351562
2024-04-17 13:30:00+00:00,190.60000610351562,202.2100067138672,161.6300048828125,114.37000274658203,910.8499755859375,132.58950805664062,298.7799987792969,35.87860107421875,671.6071166992188,85.8499984741211,645.35498046875,67.68000030517578,120.55500030517578,86.69200134277344,228.75,167.13999938964844,539.4400024414062,140.0800018310547,167.03500366210938
2024-04-17 14:30:00+00:00,190.8300018310547,201.72999572753906,160.32000732421875,112.69499969482422,909.0,131.98849487304688,297.32000732421875,35.82500076293945,670.3150024414062,85.73500061035156,643.5150146484375,67.5,120.16000366210938,86.1760025024414,228.1699981689453,166.77999877929688,537.4600219726562,139.42999267578125,166.39999389648438
2024-04-17 15:30:00+00:00,190.2100067138672,199.08999633789062,157.35000610351562,110.10199737548828,897.2100219726562,130.03125,295.2850036621094,35.54499816894531,660.85498046875,85.2300033569336,636.25,66.79000091552734,117.58999633789062,85.13800048828125,227.11500549316406,165.3249969482422,536.489990234375,138.17999267578125,166.27000427246094
2024-04-17 16:30:00+00:00,190.8000030517578,199.91000366210938,156.39999389648438,110.73999786376953,904.6199951171875,129.55099487304688,295.68499755859375,35.69499969482422,662.77001953125,85.81999969482422,643.2899780273438,67.41000366210938,117.44999694824219,85.03300476074219,227.97999572753906,165.4199981689453,535.4600219726562,138.906005859375,166.94000244140625
2024-04-17 17:30:00+00:00,189.91000366210938,199.8000030517578,155.78089904785156,109.83000183105469,907.9500122070312,129.5,295.05999755859375,35.68000030517578,662.364990234375,85.28520202636719,644.6400146484375,67.33999633789062,117.3499984741211,85.20700073242188,227.1699981689453,164.86000061035156,531.75,138.88999938964844,166.35000610351562
2024-04-17 18:30:00+00:00,189.38499450683594,198.75750732421875,154.5,107.95999908447266,903.489990234375,128.35784912109375,293.9800109863281,35.51499938964844,658.6199951171875,84.72000122070312,636.6099853515625,66.51309967041016,116.45600128173828,84.10050201416016,225.9499969482422,164.08999633789062,529.8699951171875,138.25,165.6999969482422
